subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,gamma,eta,colsample_bytree,train_rmsle,valid_rmsle,test_rmsle,train_r2score,valid_r2score,test_r2score
0.9,1.0,5.0,10,11,0.25,0.3,0.1,0.23284633830470622,0.24028203694042713,0.2392004638980828,0.8329778561892884,0.8219913020823647,0.8235614106461013
0.8,10.0,5.0,2,11,0.1,0.3,0.7,0.1983172535627114,0.2288303673433471,0.22810504331648546,0.8788408474058962,0.8385545056535,0.8395501495358881
0.8,1.0,1.0,2,7,1.0,0.3,0.1,0.2469147085287373,0.2496337867985312,0.2484740257556952,0.8121854859153629,0.8078655050340755,0.8096155232868839
0.7,100.0,5.0,10,5,5.0,0.5,0.3,0.26252636026024584,0.2635920267793081,0.2630379392723796,0.7876848116966679,0.7857784523945097,0.7866432787818125
0.9,10.0,0.0,100,13,5.0,0.05,0.3,0.24784338808567108,0.2501294705979259,0.2494736356903577,0.8107700375736152,0.8071017261240611,0.8080806101519276
0.8,5.0,0.0,1,7,0.5,0.1,0.7,0.23257640997477538,0.23719421150310196,0.2362130873907999,0.8333648743123361,0.8265370267493196,0.8279409764885018
0.7,100.0,0.0,2,13,5.0,0.1,0.1,0.259338757157902,0.2604912902430927,0.25994746884379644,0.7928093853313509,0.7907887533708982,0.7916273438766817
0.7,10.0,10.0,10,9,2.0,0.5,0.7,0.247158900566669,0.2495552304814528,0.24911552960650424,0.8118138151650366,0.8079864101700553,0.8086311947745859
0.8,5.0,0.1,5,13,0.5,0.05,0.1,0.23493246656937794,0.24111684568022762,0.2404300013510342,0.8299716637675076,0.8207522468139448,0.8217428907164973
0.7,100.0,0.01,10,5,2.0,0.3,0.1,0.25698346825508855,0.25817585442242535,0.25749074405064803,0.7965556653347415,0.7944914667853634,0.795547330172632
0.7,0.0,0.01,50,7,0.1,0.5,0.5,0.21547383680904722,0.2370436385766375,0.23682973421292658,0.8569709288571012,0.8267571884229279,0.8270414654526946
0.7,5.0,0.01,1,5,0.5,0.1,0.1,0.24540438233233797,0.24779480739550583,0.24687523736944178,0.8144761038699465,0.8106858759356789,0.8120576716702328
0.9,0.0,10.0,50,9,0.25,0.5,0.9,0.2288430738026459,0.23683570382107377,0.23647559845447924,0.8386716197540722,0.8270609924154133,0.8275583347326676
0.7,5.0,0.01,1,13,1.0,0.5,0.9,0.236522638637733,0.2441698330662509,0.2439310907688565,0.8276621545919338,0.816184289956561,0.8165136095403429
0.7,0.0,100.0,2,7,2.0,0.5,0.1,0.26177340453808007,0.26283993983139153,0.26223915481884225,0.7889009538145286,0.7869991523212924,0.7879371397398034
0.8,0.01,5.0,100,13,0.1,0.01,0.3,0.2115325499146107,0.2272892432539442,0.22655383663617354,0.862155438044182,0.8407217853749883,0.8417249773862047
0.8,0.0,0.1,5,3,1.0,0.1,0.3,0.25372950311887504,0.2548826361788715,0.25399124469291096,0.8016751354518193,0.7997008463897322,0.8010669072836347
0.9,5.0,1.0,100,9,0.1,0.05,0.1,0.22306579926502132,0.2352698273554864,0.2343639690588697,0.8467144537105937,0.8293402593968872,0.8306242503167204
0.8,0.0,5.0,1,7,5.0,0.3,0.3,0.2560733220865857,0.2575131568072961,0.25688828795293867,0.7979941717844252,0.795545130194504,0.7965029347095397
0.9,5.0,100.0,100,7,2.0,0.05,0.1,0.25846311425782603,0.25942389923486975,0.25894798405862157,0.7942061584707221,0.792499771689437,0.7932266278830152
0.8,10.0,0.0,1,9,0.25,0.05,0.9,0.21802656169860374,0.23055827791783992,0.22965138501009472,0.85356191519067,0.8361071328334737,0.8373673720812491
0.7,5.0,5.0,50,3,2.0,0.3,0.3,0.2582765206721144,0.2589248015149398,0.25835801697983,0.7945031907945301,0.7932974103834654,0.7941677475218285
0.8,1.0,1.0,1,7,0.5,0.5,0.7,0.2343106616867274,0.24050798453098196,0.23964804093882394,0.8308705138813026,0.8216563661253822,0.8229005110629158
0.7,10.0,100.0,50,13,2.0,0.3,0.3,0.2545448662620882,0.25606306132774687,0.2554153955146729,0.8003984482207347,0.7978412794623404,0.798829782916165
0.7,100.0,5.0,1,13,5.0,0.01,0.9,0.2465835703229522,0.24856570016687857,0.2478352447620636,0.8126889055637969,0.8095061264221947,0.8105931519243219
0.7,0.01,0.0,10,5,0.5,0.01,0.3,0.2440372755382735,0.24607452025855073,0.24525165241427305,0.8165373915174023,0.8133053349659273,0.8145215636027803
0.8,0.0,0.0,10,5,0.5,0.05,0.9,0.23803462574562914,0.24098016979350226,0.2398047943751318,0.8254517491438111,0.8209554006169621,0.8226687542536368
0.9,5.0,0.0,10,11,2.0,0.1,0.1,0.24895642527652734,0.25124797286554634,0.25056334456130713,0.8090665995844604,0.8053727051003078,0.8064003282415289
0.9,0.1,0.0,2,5,0.5,0.05,0.3,0.24220707219010898,0.2446407338567946,0.2437742632743771,0.8192788971333271,0.8154746000658714,0.8167494668113158
0.7,100.0,100.0,1,11,2.0,0.01,0.3,0.25164167554571104,0.2528174848496354,0.2525252851927992,0.8049255617845785,0.8029334895102711,0.8033566418315207
0.7,0.0,0.0,20,13,5.0,0.5,0.1,0.26344622302660353,0.2649310574185585,0.264514941051511,0.7861943480928315,0.7835964607221415,0.784240484671646
0.8,0.01,5.0,20,5,0.5,0.5,0.3,0.2437443149491648,0.24659572478530314,0.24616338017683184,0.8169776115829249,0.8125136304424803,0.8131399609487953
0.8,100.0,0.0,1,7,0.5,0.05,0.5,0.2355092766097703,0.23897847298748975,0.23816285476193347,0.8291357261090572,0.8239175075072106,0.8250888091922477
0.7,5.0,1.0,10,13,5.0,0.05,0.3,0.24999530963483185,0.2517646057645629,0.25135079547988104,0.8074697611655767,0.8045714708284303,0.8051815562460909
0.8,100.0,5.0,10,11,0.1,0.3,0.5,0.20381148398241078,0.22944391297935005,0.22836825462024707,0.8720346082064916,0.8376876017288519,0.8391796484748553
0.7,5.0,0.1,2,9,2.0,0.5,0.9,0.2461071504176066,0.2492860982043418,0.2483622896842235,0.8134120074756379,0.8084003400970367,0.8097867124512709
0.9,0.1,5.0,1,3,1.0,0.3,0.5,0.25050314088426795,0.2517566278413394,0.25082826782373185,0.8066867690527499,0.8045838561205889,0.8059907218725983
0.8,0.1,0.01,5,7,0.25,0.5,0.1,0.23461410319036688,0.24376231525599312,0.24250570118743897,0.8304321715839313,0.8167973522999892,0.8186517170430382
0.8,100.0,1.0,5,3,1.0,0.3,0.9,0.25012308107641007,0.25133590788939364,0.2504387670912316,0.807272908251513,0.8052364448900445,0.8065927918415797
0.7,0.01,100.0,50,5,0.5,0.01,0.5,0.24945775250622132,0.2505616856004342,0.2500654142735586,0.8082968545250019,0.8064345071753937,0.8071690229296541
0.8,0.01,0.0,5,5,0.1,0.5,0.1,0.22870717588434933,0.23952461959996857,0.23867872296687498,0.8388631718151319,0.823111771806587,0.8243302623245166
0.8,1.0,1.0,5,3,2.0,0.1,0.7,0.2563523680983732,0.25716796887465276,0.2562916699512261,0.7975536758109372,0.7960928929009149,0.7974470729357704
0.8,100.0,0.01,2,7,0.25,0.5,0.5,0.224820271878123,0.2357737298624458,0.23511193154314589,0.8442937068447935,0.8286084361506705,0.8295414143791427
0.9,100.0,0.0,100,13,0.5,0.1,0.7,0.22514942332884272,0.2335840125443609,0.23258483989284026,0.8438374448786652,0.8317772056781373,0.8331860566385457
0.9,0.01,0.1,20,5,0.25,0.1,0.5,0.2349765834235894,0.23869972855896407,0.23762608911592928,0.8299078001412463,0.8243280330956124,0.8258763419002457
0.8,10.0,0.0,100,9,2.0,0.05,0.1,0.25063615758221514,0.2525480525547428,0.25187593352912613,0.8064814166202625,0.8033533005803657,0.8043666517218001
0.7,5.0,0.01,5,3,1.0,0.3,0.1,0.25571654951223,0.25690274315408357,0.2559438343827908,0.7985566664101224,0.7965132681263729,0.7979965039974731
0.7,0.01,100.0,2,11,0.25,0.1,0.1,0.24818974643452235,0.24994145922569141,0.24920281570910657,0.8102407745215336,0.8073916035135775,0.8084970661349701
0.7,0.1,10.0,2,11,0.5,0.5,0.9,0.23238423303182942,0.2390140207741558,0.23834951815407204,0.8336401403948324,0.8238651194545488,0.8248145236746
0.7,0.1,0.1,1,13,5.0,0.01,0.7,0.24512805789816478,0.2475171648176193,0.246867793223364,0.8148936671029786,0.8111098736419824,0.8120690057276116
0.8,100.0,0.01,1,11,1.0,0.3,0.3,0.2400537611207422,0.24487985833847153,0.24404991179008584,0.8224779689780027,0.815113694465881,0.8163348102719756
0.7,0.01,10.0,20,5,5.0,0.3,0.3,0.2614611544572026,0.26224366685604433,0.2618713191945006,0.7894042622494645,0.7879644743116727,0.7885316319500597
0.9,1.0,0.01,2,3,0.1,0.01,0.7,0.25807575529583127,0.25879740181992855,0.2580654210673125,0.7948225431627671,0.7935007695684702,0.7946337022695693
0.9,0.01,1.0,2,5,0.5,0.5,0.9,0.2391787752828712,0.242567868524648,0.24158551925975535,0.8237697311068121,0.8185883565834841,0.8200253491947352
0.8,5.0,10.0,50,5,0.5,0.1,0.3,0.24296475026163664,0.24498062340434906,0.2441492804049063,0.8181464563101015,0.8149615062548246,0.8161852157004796
0.7,0.01,0.1,100,9,5.0,0.3,0.3,0.2551567399759484,0.25680980527536057,0.2565878499016064,0.7994376923943947,0.7966604693918353,0.7969786474076891
0.8,0.1,0.0,5,9,0.25,0.5,0.5,0.21672518150003023,0.24044112598201978,0.2398706353254904,0.8553048484396196,0.8217555074429499,0.822571364536167
0.8,0.1,5.0,100,9,0.25,0.01,0.7,0.22546591946575914,0.23209404436737555,0.231172552416435,0.8433980959046143,0.8339164548892813,0.8352057409644221
0.7,0.01,100.0,20,5,0.25,0.3,0.5,0.24410111999993092,0.2458957464415376,0.24498572062385238,0.8164413848428467,0.8135765048044645,0.8149235822665168
0.8,1.0,0.01,20,9,5.0,0.05,0.3,0.25054278220582704,0.25217937102947846,0.25181660492901137,0.8066255818096648,0.8039270296975669,0.8044588025324858
0.8,100.0,0.1,100,9,2.0,0.1,0.5,0.24248613850503298,0.24498665147867046,0.24435675249187502,0.8188622104873624,0.8149523999059192,0.8158726803486922
0.9,10.0,0.01,20,9,0.5,0.5,0.3,0.2351216928636999,0.24487932172910476,0.24408656586969715,0.8296976549030256,0.815114504753957,0.816279636443104
0.9,5.0,1.0,2,13,5.0,0.1,0.7,0.244440465777428,0.2472732554332665,0.2463383692500328,0.8159306691346515,0.8114819639913328,0.8128742017840083
0.7,10.0,0.0,5,13,0.25,0.1,0.3,0.2087145825828085,0.23102440298016194,0.23041071240497904,0.8658036153823041,0.8354437708587047,0.8362901256467054
0.7,0.1,0.01,2,13,0.5,0.05,0.3,0.2198579140401659,0.23395219269142126,0.23314687283791438,0.8510915185679241,0.8312464749561485,0.832378882708985
0.8,100.0,0.0,100,11,0.5,0.05,0.3,0.22970033408935683,0.2356945570984126,0.23488164083899385,0.8374606636858225,0.8287235233194148,0.8298751771314085
0.7,100.0,10.0,2,5,1.0,0.01,0.3,0.2487710027179868,0.25004903889747715,0.2493864925213168,0.809350907775171,0.8072257630207824,0.8082146647408215
0.7,0.1,10.0,20,3,5.0,0.3,0.7,0.26311616793413406,0.26390728177630607,0.26296183725724914,0.7867297396314448,0.7852657297631357,0.7867667174587459
0.9,100.0,100.0,2,9,2.0,0.5,0.7,0.2512010816361098,0.2532257415739828,0.2524325609597339,0.8056080669096899,0.8022965186333497,0.8035010254482347
